gene_symbol,group,n_samples,n_mutations,datasets,samples,max_gt_AF
Trim68,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.1
Trim69,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.1
Trim9,Morphologically normal,1,1,WES,skin04-c6-t2,0.081
Trio,Morphologically normal,4,5,WES,hairfollicle04-c6-t3; hairfollicle05-b1-t3; hairfollicle05-e5-t3; skin04-c6-t2,0.13
Trio,Skin papilloma,1,2,WES,skin04-c2-t2,0.088
Triobp,HF papilloma,1,1,WES,hairfollicle04-c5-t3,0.029
Trip10,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.103
Trip12,Morphologically normal,1,1,WES,skin05-e5-t2,0.075
Trip13,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.259
Trmt1,Morphologically normal,1,1,WES,skin05-e5-t2,0.081
Trmt11,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.065
Trmt13,Morphologically normal,1,1,WES,hairfollicle05-b5-t3,0.07
Trmt1l,Morphologically normal,1,1,WES,hairfollicle05-b5-t3,0.062
Trmt2a,Skin papilloma,1,1,WES,skin04-c5-t2,0.05
Trmt6,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.022
Tro,Morphologically normal,2,5,WES,hairfollicle05-b5-t3; skin05-b1-t2,0.059
Tro,HF papilloma,1,1,WES,hairfollicle04-c2-t3,0.02
Tro,Skin papilloma,1,1,WES,skin04-c5-t2,0.028
Trpc4,Morphologically normal,1,1,WES,skin04-c6-t2,0.056
Trpc5os,Morphologically normal,1,1,WES,skin04-c6-t2,0.065
Trpc7,Morphologically normal,1,1,WES,hairfollicle05-b1-t3,0.333
Trpc7,HF papilloma,1,1,WES,hairfollicle03-f6-t2,0.133
Trpm1,Morphologically normal,2,2,WES,hairfollicle05-b5-t3; hairfollicle05-e5-t3,0.077
Trpm1,Skin papilloma,1,1,WES,skin04-c4-t2,0.077
Trpm2,HF papilloma,1,2,WES,hairfollicle04-c4-t3,0.052
Trpm2,Skin papilloma,1,1,WES,skin04-c5-t2,0.037
Trpm6,Morphologically normal,2,2,WES,hairfollicle05-b5-t3; hairfollicle05-e5-t3,0.111
Trpm8,HF papilloma,1,1,WES,hairfollicle04-c5-t3,0.065
Trpv4,Morphologically normal,1,1,WES,skin04-c6-t2,0.071
Trpv6,Skin papilloma,1,2,WES,skin04-c2-t2,0.065
Trrap,Morphologically normal,4,4,TES; WES,hairfollicle05-e5-t3; hairfollicle21-e6-w17; hairfollicle21-f1-w17; skin05-b1-t2,0.227
Trrap,HF SCC,4,4,TES,hairfollicle21-b6-w14; hairfollicle21-b7-w8; hairfollicle21-c6-w14; hairfollicle21-c7-w8,0.593
Try5,HF papilloma,1,1,WES,hairfollicle04-c2-t3,0.026
Tsc1,HF SCC,1,1,TES,hairfollicle21-b6-w14,0.308
Tsc2,Morphologically normal,2,3,WES,hairfollicle05-b5-t3; hairfollicle05-e5-t3,0.128
Tsc22d1,HF papilloma,1,1,WES,hairfollicle04-c4-t3,0.043
Tsc22d4,Skin papilloma,1,1,WES,skin04-c5-t2,0.07
Tsfm,Morphologically normal,1,2,WES,hairfollicle05-e5-t3,0.023
Tsg101,Morphologically normal,1,1,WES,skin04-c6-t2,0.035
Tsga13,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.025
Tshz2,Morphologically normal,1,1,WES,skin05-e5-t2,0.091
Tsku,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.091
Tsnaxip1,Morphologically normal,1,1,WES,skin05-b1-t2,0.064
Tspan10,Skin papilloma,1,1,WES,skin04-c2-t2,0.047
Tspan3,Morphologically normal,1,1,WES,skin04-c6-t2,0.031
Tspan32,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.107
Tspan9,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.096
Tspo,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.083
Tspoap1,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.239
Tspyl3,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.142
Tssk4,Morphologically normal,1,1,WES,skin04-c6-t2,0.023
